price,area
5.555511924789058753e+00,-2.102395421403188180e+01
1.653271745456470754e+01,-1.023111524521514681e+01
1.553454116840480381e+01,-2.180010091612928491e+01
5.642218221351189555e+00,-2.215376654565760006e+01
9.643913252196036012e+00,-1.255286879271703526e+01
1.203736421532356360e+01,-2.445135362538236379e+01
1.290411776664860888e+01,-9.328295933371986592e+00
9.589388703391254154e+00,-1.971324228976191506e+01
1.424298460064601457e+01,-1.165817401515008100e+01
7.489641385765388293e+00,-8.490351371347628628e+00
1.009063686290883588e+01,-3.397866007914380759e-01
4.164897170076336863e+00,-1.359268428238264548e+01
8.912903333114670090e+00,-1.714719438229987958e+01
1.426445680787095682e+01,-1.211213620833096627e+01
9.015130999262842337e+00,-6.893529778164660726e+00
1.452148215437721746e+01,-7.277636517963525620e+00
1.629624942259991016e+01,-8.648381115689451448e+00
1.289851454143528997e+01,-6.240852269077127090e+00
1.380268355399109481e+01,-2.976291112869440703e+00
-1.012089148485095791e-02,-1.716312651716866355e+01
1.436440517602473577e+01,-1.157770113267399026e+01
6.400105772674940852e+00,-6.960706278688562065e-01
1.233242353864345375e+01,-1.219839900322000759e+01
7.889936510333406261e-01,-4.779215661298523266e+00
7.021396300450129857e+00,-8.828112351837997807e+00
1.013548457346386655e+01,-1.275476928949416688e+01
1.624466508235445161e+01,-4.584969243634714253e+00
8.539770409091634207e+00,-7.058446194692839626e+00
2.716086507263556271e+00,-1.195270064611894334e+01
5.247790937067799533e+00,-8.960102381653531012e+00
8.189166777818261522e+00,-1.973876335964918738e+00
9.016194414668628809e+00,-1.379584773963112454e+01
8.229679887188137144e+00,-1.299019109225794821e+01
-8.803641476300931856e-01,-1.184201205998846262e+01
6.313374197427684464e+00,-2.655297053249756090e+01
1.814471943953204658e+01,-3.344256271844371575e+00
5.816344533248400062e+00,-8.276799613033590575e+00
1.674967919385202819e+01,-1.785210454006399061e+01
7.987215032107333634e+00,-5.783924602129837389e+00
5.975745992603022749e+00,-9.015578840595761534e+00
1.174629069945035909e+01,-9.344596308482834957e+00
7.568280463114509971e+00,-9.825195655778514947e+00
8.682650955915963920e+00,-1.076472667704988950e+01
1.133512395784260640e+01,-5.073469836868864213e+00
4.965220487487466805e+00,-7.300673450750712057e+00
4.172796552279296023e+00,-1.622663445126140402e+01
1.414712082833273854e+01,-9.793258957674870757e+00
7.893905349288056428e+00,-1.216362563137792918e+01
1.128446016705637334e+01,-7.924079303639446792e+00
9.838312670293753115e+00,-4.398649489006506208e+00
6.998975022112332134e+00,-3.797135763804399211e+00
5.913815850677523578e+00,-1.050175783878774283e+01
1.396778781331514807e+01,-3.298095973424238991e+00
1.067288747670201943e+01,-1.705032171279676234e+01
1.099901127846164250e+01,-8.396197072939822093e+00
